Name: Scott Davidson
Date: 2-20-16
Time: 10:15
1048 328 384
1040 272 384
936 296 400
952 312 440
976 328 376
1008 312 256
976 240 184
1008 192 144
984 168 8
1088 224 -104
1048 192 -8
1016 192 24
976 192 72
960 232 64
968 240 104
1008 304 56
1136 264 160
1120 232 160
1024 256 136
952 248 136
1000 256 144
1136 288 136
1048 208 -120
1120 264 56
1000 248 -48
880 272 -128
960 280 -96
1224 352 16
1264 320 40
1112 288 144
1056 264 144
1032 248 112
1016 240 112
1080 256 48
1040 248 -40
1040 216 128
984 264 8
896 272 -128
1000 296 -80
1120 352 -40
1208 312 104
1176 264 184
1056 256 128
960 216 112
960 200 104
976 280 32
1112 200 64
1032 208 -24
1008 264 -48
920 312 -128
1000 288 -48
992 288 -16
1104 248 240
1104 280 -8
1040 256 184
1000 208 184
1000 216 104
1072 288 8
1104 304 -120
1056 184 -80
1016 208 -120
952 232 -144
968 256 -56
1072 240 136
1080 320 248
1016 392 200
952 496 328
1064 440 512
1056 352 384
1048 296 272
1072 184 136
1096 128 160
1064 136 128
1104 184 0
1056 136 -80
1000 168 -24
928 200 8
952 248 48
1184 296 96
1216 280 216
1216 288 128
1080 256 152
928 200 88
936 192 56
1072 216 64
1000 328 -32
1088 256 88
960 288 -104
848 296 -184
928 296 -144
1144 336 40
1120 272 80
1248 288 192
1080 248 152
888 216 96
848 168 104
1040 216 104
1064 368 -152
1120 280 96
1000 288 -40
888 336 -152
936 336 -168
1208 328 -8
1184 256 32
1256 288 152
1112 272 72
960 240 80
936 224 104
1032 240 48
1008 296 -112
1080 264 -16
984 272 -96
952 280 -176
960 296 -176
1056 296 -56
1016 288 32
1144 240 304
1024 272 120
928 296 128
912 336 120
912 352 56
864 496 -72
1056 608 -96
976 584 -104
824 472 -32
784 432 48
856 392 48
1120 376 64
1064 336 184
992 328 120
1000 344 168
1024 360 136
1032 320 184
1000 280 216
1088 240 376
1000 184 112
1024 160 0
1024 72 -208
1032 56 -32
1000 104 48
944 176 56
992 224 88
1136 264 0
1080 280 24
1192 232 136
1096 224 112
952 192 72
904 160 56
1024 200 104
992 344 -64
1120 248 104
1032 256 -56
944 288 -120
936 296 -184
1088 272 -24
1048 312 -16
1232 320 232
1144 304 144
1000 272 120
872 248 16
888 256 96
952 320 24
1192 312 -56
1096 280 -72
976 288 -96
888 312 -104
1056 288 -16
1024 336 -32
1216 328 128
1128 288 88
1008 264 128
936 248 72
944 256 72
872 328 -96
1072 280 32
1040 304 -80
976 320 -64
928 312 -144
1040 312 -40
984 336 -88
1104 280 152
1064 240 96
1032 248 64
976 264 24
904 288 0
840 312 -48
1040 288 -56
1040 272 -56
1000 320 -8
952 320 -56
976 296 -24
1096 312 -128
1240 224 8
1216 304 -176
1120 248 0
1032 208 72
960 200 120
968 296 120
968 352 88
